"fact_id","module_id","scope","municipality_ibge_code","approved_message_function","approved_fact","source_ids","period","territorial_lens","unit","calculation_or_status","semantic_limit","publication_allowed_now"
"A3-REGION-OCCUPATIONS-2019-2025","A3_OCUPACOES_FORMACAO","region","","nomear movimentos ocupacionais líquidos","Escriturários: 33704 para 39635; técnicos de ciências físicas, químicas e engenharia: 6232 para 8103; trabalhadores têxteis, curtimento, vestuário e artes gráficas: 21748 para 18843","CEI_RAIS_OCUPACOES|JOB2D_OCUPACOES_FORMACAO|JOB4A_DOSSIE_A3","2019-2025","workplace_municipality","active_bonds","movimentos líquidos +5931, +1871 e -2905","não classificar como mudança sustentada","false"
"A3-REGION-BRIDGE-COVERAGE-2025","A3_OCUPACOES_FORMACAO","region","","delimitar composição e cobertura da ponte","44 cursos e 13945 matrículas; 39 cursos e 12664 matrículas mapeados; 5 cursos e 1281 matrículas não mapeados","CENSO_ESCOLAR_CURSOS_TECNICOS|CNCT_CBO_BRIDGE_V1|JOB2D_OCUPACOES_FORMACAO|JOB4A_DOSSIE_A3","2025","school_location","count|fraction","mapped_enrollment_share=0.9081391179634277","ponte parcial, normativa e não aditiva","false"
"A3-MUN-4313375-2019-2025","A3_OCUPACOES_FORMACAO","municipality","4313375","delimitar mudança do estoque formal local","Vínculos RAIS por estabelecimento: 8473 para 11591","CEI_RAIS_OCUPACOES|JOB3_CANDIDATE_FACTS|JOB4A_DOSSIE_A3","2019-2025","workplace_municipality","active_bonds|fraction","relative_change=0.3679924465950667","não representa emprego dos residentes","false"
"A3-MUN-4313375-LOGISTICA-2019-2025","A3_OCUPACOES_FORMACAO","municipality","4313375","dar concretude ocupacional à questão de articulação","Motorista de caminhão 941 para 1193; auxiliar de logística 17 para 722; conferente de carga e descarga 202 para 385; operador de empilhadeira 115 para 292","CEI_RAIS_OCUPACOES|JOB4A_DOSSIE_A3","2019-2025","workplace_municipality","active_bonds","movimento líquido observado por ocupação","não ligar automaticamente a curso ou pessoa","false"
"JOB5A_A4-VALE-TOTAL-2022","A4_MOBILIDADE_COORDENACAO","region","","definir fotografia regional total","33868 de 229441 residentes estudantes estudavam fora","R6_MOBILIDADE_EDUCACIONAL_2022|JOB2E_MOBILIDADE|JOB5A_A4_FACTUAL_MATRIX","2022","student_residence","students|percent","outside_share_percent=14.761093265806895; destination_available=false","estudar fora não é problema em si","false"
"JOB5A_A4-VALE-FUNDAMENTAL-2022","A4_MOBILIDADE_COORDENACAO","region","","definir fotografia regional do fundamental","7507 de 107060 residentes estudantes do fundamental estudavam fora","R6_MOBILIDADE_EDUCACIONAL_2022|JOB2E_MOBILIDADE|JOB5A_A4_FACTUAL_MATRIX","2022","student_residence","students|percent","outside_share_percent=7.01195591257239; destination_available=false","sem destino, rota ou receptor","false"
"JOB5A_A4-VALE-MEDIO-2022","A4_MOBILIDADE_COORDENACAO","region","","definir fotografia regional do médio","5812 de 38516 residentes estudantes do médio estudavam fora","R6_MOBILIDADE_EDUCACIONAL_2022|JOB2E_MOBILIDADE|JOB5A_A4_FACTUAL_MATRIX","2022","student_residence","students|percent","outside_share_percent=15.089832796759788; destination_available=false","sem destino, vaga ou capacidade","false"
"JOB5A_A4-4313375-TOTAL-2022","A4_MOBILIDADE_COORDENACAO","municipality","4313375","mostrar contraste municipal total","1349 de 7666 residentes estudantes estudavam fora; Vale=14.761093265806895%; RS=8.81484168915293%","R6_MOBILIDADE_EDUCACIONAL_2022|JOB5A_A4_FACTUAL_MATRIX","2022","student_residence","students|percent","outside_share_percent=17.5971823636838","sem inferir destino","false"
"JOB5A_A4-4313375-FUNDAMENTAL-2022","A4_MOBILIDADE_COORDENACAO","municipality","4313375","mostrar contraste municipal do fundamental","355 de 4090 residentes estudantes do fundamental estudavam fora; Vale=7.01195591257239%; RS=3.3018410814228547%","R6_MOBILIDADE_EDUCACIONAL_2022|JOB5A_A4_FACTUAL_MATRIX","2022","student_residence","students|percent","outside_share_percent=8.679706601466993","transporte apenas como contexto","false"
"JOB5A_A4-4313375-MEDIO-2022","A4_MOBILIDADE_COORDENACAO","municipality","4313375","mostrar contraste municipal do médio","220 de 1151 residentes estudantes do médio estudavam fora; Vale=15.089832796759788%; RS=8.2202237766851%","R6_MOBILIDADE_EDUCACIONAL_2022|JOB5A_A4_FACTUAL_MATRIX","2022","student_residence","students|percent","outside_share_percent=19.11381407471764","sem inferir escola receptora ou ente responsável","false"
