outcome,factor,stage,network,location,window,lag,specification_id,specification,sensitivity,coefficient,coefficient_unit,magnitude_recorded_by_job3,sign,raw_p_value,bh_adjusted_p_value,observations,municipality_count,weighting,INSE_control,fixed_effects,main_or_sensitivity,sign_agreement_with_main,magnitude_range_across_sensitivities,leave_one_out_min,leave_one_out_max,pandemic_exclusion_result,Nova_Santa_Rita_relevance,possible_planning_delta,lens_and_period_compatibility,factual_limit
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4318705,S1_CLASS_SIZE,LEAVE_OUT_VALE_4318705,0.3247905464624498,outcome percentage points per 1 student per class,0.3247905464624498,positive,1.9355035977217527e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4320008,S1_CLASS_SIZE,LEAVE_OUT_VALE_4320008,0.3250929121704947,outcome percentage points per 1 student per class,0.3250929121704947,positive,1.8847926589657808e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-NO_FE,S1_CLASS_SIZE,NO_FE_DIAGNOSTIC,0.4074336463965456,outcome percentage points per 1 student per class,0.4074336463965456,positive,7.413361036031481e-07,4.04365147419899e-06,3477,497,unweighted,false,false,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2022-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-WINDOW_2022_2025,S1_CLASS_SIZE,WINDOW_2022_2025,0.2204704443206137,outcome percentage points per 1 student per class,0.2204704443206137,positive,0.005703253246538,0.0123685010165886,1987,497,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2022-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1_CLASS_SIZE,S1_CLASS_SIZE,MAIN_2019_2025,0.3252609969182471,outcome percentage points per 1 student per class,0.3252609969182471,positive,1.8568090751889724e-06,7.856312780210417e-06,3477,497,unweighted,false,true,main,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,teacher_adequacy_percent,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S2_TEACHER_ADEQUACY,S2_TEACHER_ADEQUACY,MAIN_2019_2025,0.0038814177564472,outcome percentage points per 1 percentage point of teacher adequacy,0.0038814177564472,positive,0.778854308582796,0.8298262332736734,3479,497,unweighted,false,true,main,true,"[0.0038814177564471999,0.0038814177564471999]",not_executed_for_relation,not_executed_for_relation,not_executed_for_relation,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor teacher_adequacy_percent and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,schools_with_broadband_percent,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S3-WITHOUT-INSE,S3_BROADBAND_INSE,WITHOUT_INSE,-0.003455924501314,outcome percentage points per 1 percentage point of schools with broadband,0.003455924501314,negative,0.6715163244830407,0.7325632630724079,3479,497,unweighted,false,true,sensitivity,true,"[0.0028993482617072001,0.0034559245013139998]",not_executed_for_relation,not_executed_for_relation,not_executed_for_relation,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor schools_with_broadband_percent and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,schools_with_broadband_percent,fundamental_anos_finais,total,total (school_location lens),2019-2023,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S3_BROADBAND_INSE,S3_BROADBAND_INSE,MAIN_2019_2025,-0.0028993482617072,outcome percentage points per 1 percentage point of schools with broadband,0.0028993482617072,negative,0.7791146301291711,0.8298262332736734,1485,497,unweighted,true,true,main,true,"[0.0028993482617072001,0.0034559245013139998]",not_executed_for_relation,not_executed_for_relation,not_executed_for_relation,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor schools_with_broadband_percent and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2023,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019;2022-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-EXCLUDE_2020_2021,S1_CLASS_SIZE,EXCLUDE_2020_2021,0.0318677132645417,outcome percentage points per 1 student per class,0.0318677132645417,positive,0.06424228106906,0.089640392189386,2484,497,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019;2022-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2020-2025,1,H2-fundamental_anos_finais-dropout_rate_percent-S1-LAG1,S1_CLASS_SIZE,LAG_1,0.0577718082888139,outcome percentage points per 1 student per class,0.0577718082888139,positive,0.0003427766257836,0.0008012960083255,2980,497,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2020-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4303905,S1_CLASS_SIZE,LEAVE_OUT_VALE_4303905,0.0310822871012811,outcome percentage points per 1 student per class,0.0310822871012811,positive,0.0551370879859816,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4306403,S1_CLASS_SIZE,LEAVE_OUT_VALE_4306403,0.0311398530958292,outcome percentage points per 1 student per class,0.0311398530958292,positive,0.0547396542153943,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4307609,S1_CLASS_SIZE,LEAVE_OUT_VALE_4307609,0.0313106295863021,outcome percentage points per 1 student per class,0.0313106295863021,positive,0.0536695757201406,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4307708,S1_CLASS_SIZE,LEAVE_OUT_VALE_4307708,0.0310948404080783,outcome percentage points per 1 student per class,0.0310948404080783,positive,0.0550444074528429,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4310801,S1_CLASS_SIZE,LEAVE_OUT_VALE_4310801,0.0312143412930401,outcome percentage points per 1 student per class,0.0312143412930401,positive,0.0541177812065069,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4313375,S1_CLASS_SIZE,LEAVE_OUT_VALE_4313375,0.0315261626840863,outcome percentage points per 1 student per class,0.0315261626840863,positive,0.0519223107462204,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4313409,S1_CLASS_SIZE,LEAVE_OUT_VALE_4313409,0.0312072983681257,outcome percentage points per 1 student per class,0.0312072983681257,positive,0.054155261404786,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4314803,S1_CLASS_SIZE,LEAVE_OUT_VALE_4314803,0.031136526664237,outcome percentage points per 1 student per class,0.031136526664237,positive,0.0547141041136476,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4318705,S1_CLASS_SIZE,LEAVE_OUT_VALE_4318705,0.0313216054156377,outcome percentage points per 1 student per class,0.0313216054156377,positive,0.0533379386027184,0.0806884214428999,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-LOO-4320008,S1_CLASS_SIZE,LEAVE_OUT_VALE_4320008,0.0310069545857927,outcome percentage points per 1 student per class,0.0310069545857927,positive,0.0557005024156566,0.0808555680227274,3470,496,unweighted,false,true,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
dropout_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-dropout_rate_percent-S1-NO_FE,S1_CLASS_SIZE,NO_FE_DIAGNOSTIC,0.0393638866580756,outcome percentage points per 1 student per class,0.0393638866580756,positive,3.1532862235069925e-06,1.2076415324069332e-05,3477,497,unweighted,false,false,sensitivity,true,"[0.031006954585792699,0.060907594520913003]",0.0310069545857927,0.0315261626840863,0.0318677132645417,Nova Santa Rita: dropout_rate_percent 3.5% -> 0.29999999999999999% (-3.2000000000000002 pp); the model does not include a local condition trajectory or a network-specific coefficient.,Jointly monitor students_per_class and dropout_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
